Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (24.09.2025 10:36:59)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
**  Extension of power s WBS NL-F-MAC-001-10	           88500.00	           98500.00	               0.00	           98500.00	          -10000.00	           88500.00	           88500.00	               0.00	           88500.00	               0.00	               0.00	           10000.00	               0.00	           10000.00	          -10000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          103500.00	           98500.00	               0.00	           98500.00	            5000.00
*   Power Suppy          WBS NL-F-MAC-001-10-01	           88500.00	           98500.00	               0.00	           98500.00	          -10000.00	           88500.00	           88500.00	               0.00	           88500.00	               0.00	               0.00	           10000.00	               0.00	           10000.00	          -10000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          103500.00	           98500.00	               0.00	           98500.00	            5000.00
**  Statutory applicatio WBS NL-F-MAC-001-11	         1880000.00	         1180000.00	               0.00	         1180000.00	          700000.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1880000.00	         1180000.00	               0.00	         1180000.00	          700000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1880000.00	         1180000.00	               0.00	         1180000.00	          700000.00
*   Mining Plan Applicat WBS NL-F-MAC-001-11-01	          700000.00	               0.00	               0.00	               0.00	          700000.00	               0.00	               0.00	               0.00	               0.00	               0.00	          700000.00	               0.00	               0.00	               0.00	          700000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          700000.00	               0.00	               0.00	               0.00	          700000.00
*   Certification of Pro WBS NL-F-MAC-001-11-02	         1180000.00	         1180000.00	               0.00	         1180000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1180000.00	         1180000.00	               0.00	         1180000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1180000.00	         1180000.00	               0.00	         1180000.00	               0.00
**  Contingency @ 5 %    WBS NL-F-MAC-001-12	           34230.00	           34229.81	               0.00	           34229.81	               0.19	               0.00	               0.00	               0.00	               0.00	               0.00	           34230.00	           34229.81	               0.00	           34229.81	               0.19	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           34230.00	           34229.81	               0.00	           34229.81	               0.19
*   Reimbursement of exp WBS NL-F-MAC-001-12-01	           34230.00	           34229.81	               0.00	           34229.81	               0.19	               0.00	               0.00	               0.00	               0.00	               0.00	           34230.00	           34229.81	               0.00	           34229.81	               0.19	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           34230.00	           34229.81	               0.00	           34229.81	               0.19
**  Minex Software       WBS NL-F-MAC-001-13	        13723400.00	               0.00	        13723400.00	        13723400.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13723400.00	               0.00	        13723400.00	        13723400.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13723400.00	               0.00	        13723400.00	        13723400.00	               0.00
*   Minex                WBS NL-F-MAC-001-13-01	        13723400.00	               0.00	        13723400.00	        13723400.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13723400.00	               0.00	        13723400.00	        13723400.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13723400.00	               0.00	        13723400.00	        13723400.00	               0.00
Result	      2264148400.00	       -10897077.60	       516480200.27	       505583122.67	      1758565277.33	       368607886.40	       -21870277.48	       431290000.00	       409419722.52	       -40811836.12	      1895540513.60	        10973199.88	        85190200.27	        96163400.15	      1799377113.45	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      2264148400.00	       -10897077.60	       516480200.27	       505583122.67	      1758565277.33
