Plan/Actual/Variance	Current data (01.12.2025 16:15:22)
	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2026	2026	2026	2026	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
Displayed in	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1
6*  PRJ NL-S-CSR-198               olympians Sirsa, Jod	                  0	             367293	            -367293	                  0	                  0	             367293	            -367293	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             367293	            -367293	                  0
6*  PRJ NL-S-CSR-200               BT road to Bharathi	                  0	            2577466	           -2577466	                  0	                  0	            2577466	           -2577466	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2577466	           -2577466	                  0
6*  PRJ NL-S-CSR-202               Therkumelur to Vadal	                  0	            3006778	           -3006778	                  0	                  0	            3006778	           -3006778	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3006778	           -3006778	                  0
6*  PRJ NL-S-CSR-204               BT Road  Kunankurich	                  0	             256520	            -256520	                  0	                  0	             256520	            -256520	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             256520	            -256520	                  0
6*  PRJ NL-S-CSR-205               Barsingsar-UdairamBy	                  0	            1076352	           -1076352	                  0	                  0	            1076352	           -1076352	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1076352	           -1076352	                  0
6*  PRJ NL-S-CSR-206               widening of Sengal O	                  0	           15419857	          -15419857	                  0	                  0	           15419857	          -15419857	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           15419857	          -15419857	                  0
6*  PRJ NL-S-CSR-207               Baseline survey	                  0	             644575	            -644575	                  0	                  0	             644575	            -644575	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             644575	            -644575	                  0
6*  PRJ NL-S-CSR-208               FA Gram Vikas Societ	                  0	           19045750	          -19045750	                  0	                  0	           19045750	          -19045750	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           19045750	          -19045750	                  0
6*  PRJ NL-S-CSR-211               FA Aravinda Charitab	                  0	            6809220	           -6809220	                  0	                  0	            6809220	           -6809220	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6809220	           -6809220	                  0
6*  PRJ NL-S-CSR-212               urgent/new CSR Activ	                  0	           40970524	          -40970524	                  0	                  0	           41060953	          -41060953	                  0	                  0	             -90429	              90429	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           40970524	          -40970524	                  0
6*  PRJ NL-S-CSR-213               Poshak to HIV +Ve  S	                  0	            4072628	           -4072628	                  0	                  0	            4072628	           -4072628	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4072628	           -4072628	                  0
6*  PRJ NL-S-CSR-214               Blood Donation camp	                  0	            1332047	           -1332047	                  0	                  0	            1332047	           -1332047	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1332047	           -1332047	                  0
6*  PRJ NL-S-CSR-215               Year Long Swachhata	                  0	             243852	            -243852	                  0	                  0	             243852	            -243852	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             243852	            -243852	                  0
6*  PRJ NL-S-CSR-220               Conducting Medical c	                  0	            7994462	           -7994462	                  0	                  0	            7994462	           -7994462	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7994462	           -7994462	                  0
6*  PRJ NL-S-CSR-221               HC PM Cmp public res	                  0	           22397285	          -22397285	                  0	                  0	           22397285	          -22397285	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           22397285	          -22397285	                  0
6*  PRJ NL-S-CSR-222               Breakfast Scheme to	                  0	            5592720	           -5592720	                  0	                  0	            5592720	           -5592720	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5592720	           -5592720	                  0
6*  PRJ NL-S-CSR-225               Camps in Project aff	                  0	            1113312	           -1113312	                  0	                  0	            1113312	           -1113312	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1113312	           -1113312	                  0
6*  PRJ NL-S-CSR-227               Wheel chair etc in P	                  0	            4711796	           -4711796	                  0	                  0	            4717475	           -4717475	                  0	                  0	              -5679	               5679	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4711796	           -4711796	                  0
6*  PRJ NL-S-CSR-228               Periodical health ch	                  0	             616900	            -616900	                  0	                  0	             616900	            -616900	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             616900	            -616900	                  0
6*  PRJ NL-S-CSR-229               Beti Bachao scheme,	                  0	             199937	            -199937	                  0	                  0	             199937	            -199937	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             199937	            -199937	                  0
6*  PRJ NL-S-CSR-230               Infra. development P	                  0	            2950839	           -2950839	                  0	                  0	            2950839	           -2950839	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2950839	           -2950839	                  0
6*  PRJ NL-S-CSR-238               OHT,Vadakumelur Panc	                  0	            1900689	           -1900689	                  0	                  0	            1900689	           -1900689	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1900689	           -1900689	                  0
6*  PRJ NL-S-CSR-241               OHT for Annagramam e	                  0	            2504866	           -2504866	                  0	                  0	            2504866	           -2504866	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2504866	           -2504866	                  0
6*  PRJ NL-S-CSR-242               OHT for Vegakollai V	                  0	            1050270	           -1050270	                  0	                  0	            1050270	           -1050270	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1050270	           -1050270	                  0
6*  PRJ NL-S-CSR-243               OHT,Borewell in Kilp	                  0	            1749225	           -1749225	                  0	                  0	            1749225	           -1749225	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1749225	           -1749225	                  0
6*  PRJ NL-S-CSR-255               Toilet block in GHSS	                  0	               2000	              -2000	                  0	                  0	               2000	              -2000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	               2000	              -2000	                  0
6*  PRJ NL-S-CSR-260               Hygiene&Health Care	                  0	           14903518	          -14903518	                  0	                  0	           14903518	          -14903518	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           14903518	          -14903518	                  0
6*  PRJ NL-S-CSR-263               waste collection equ	                  0	            4999652	           -4999652	                  0	                  0	            4999652	           -4999652	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4999652	           -4999652	                  0
6*  PRJ NL-S-CSR-264               Swachhata activities	                  0	            8854032	           -8854032	                  0	                  0	            8854032	           -8854032	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8854032	           -8854032	                  0
6*  PRJ NL-S-CSR-267               Van etc-PMS HSS,S&H	                  0	            1130800	           -1130800	                  0	                  0	            1130800	           -1130800	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1130800	           -1130800	                  0
6*  PRJ NL-S-CSR-269               Tiles - classroom,GH	                  0	                 -5	                  5	                  0	                  0	                 -5	                  5	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                 -5	                  5	                  0
6*  PRJ NL-S-CSR-270               Tution fee for JSC S	                  0	           34849700	          -34849700	                  0	                  0	           34849700	          -34849700	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           34849700	          -34849700	                  0
6*  PRJ NL-S-CSR-271               Awareness, motivatio	                  0	            5273408	           -5273408	                  0	                  0	            5273408	           -5273408	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5273408	           -5273408	                  0
6*  PRJ NL-S-CSR-272               Promoting Education,	                  0	            3796448	           -3796448	                  0	                  0	            3796448	           -3796448	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3796448	           -3796448	                  0
6*  PRJ NL-S-CSR-273               Educational Assistan	                  0	            9181534	           -9181534	                  0	                  0	            9181534	           -9181534	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9181534	           -9181534	                  0
6*  PRJ NL-S-CSR-274               Smart class for Govt	                  0	            3962794	           -3962794	                  0	                  0	            3962794	           -3962794	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3962794	           -3962794	                  0
6*  PRJ NL-S-CSR-276               Scholarships to girl	                  0	            1072095	           -1072095	                  0	                  0	            1072095	           -1072095	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1072095	           -1072095	                  0
6*  PRJ NL-S-CSR-277               School kits, Beti Pa	                  0	             198024	            -198024	                  0	                  0	             198024	            -198024	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             198024	            -198024	                  0
6*  PRJ NL-S-CSR-278               Classroom in GovPS B	                  0	             789729	            -789729	                  0	                  0	             789729	            -789729	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             789729	            -789729	                  0
6*  PRJ NL-S-CSR-279               Classroom Gov SSS, B	                  0	             826202	            -826202	                  0	                  0	             826202	            -826202	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             826202	            -826202	                  0
6*  PRJ NL-S-CSR-280               Library in Bithnok	                  0	            1180663	           -1180663	                  0	                  0	            1180663	           -1180663	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1180663	           -1180663	                  0
6*  PRJ NL-S-CSR-281               Addl. classrooms etc	                  0	             960078	            -960078	                  0	                  0	             960078	            -960078	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             960078	            -960078	                  0
6*  PRJ NL-S-CSR-282               Infra. @Govt. school	                  0	            2169484	           -2169484	                  0	                  0	            2169484	           -2169484	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2169484	           -2169484	                  0
6*  PRJ NL-S-CSR-283               Classroom in Gov SSS	                  0	             825642	            -825642	                  0	                  0	             825642	            -825642	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             825642	            -825642	                  0
6*  PRJ NL-S-CSR-284               Classroom etc-Gov SS	                  0	            1056714	           -1056714	                  0	                  0	            1056714	           -1056714	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1056714	           -1056714	                  0
6*  PRJ NL-S-CSR-287               FA to SOS, Neyveli	                  0	            6000000	           -6000000	                  0	                  0	            6000000	           -6000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6000000	           -6000000	                  0
6*  PRJ NL-S-CSR-289               Upgradation faciliti	                  0	            4862691	           -4862691	                  0	                  0	            4862691	           -4862691	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4862691	           -4862691	                  0
6*  PRJ NL-S-CSR-292               FA NeyamVeterinaryWe	                  0	            1500000	           -1500000	                  0	                  0	            1500000	           -1500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1500000	           -1500000	                  0
6*  PRJ NL-S-CSR-293               Swamy Sagajanantha M	                  0	            4710746	           -4710746	                  0	                  0	            4669058	           -4669058	                  0	                  0	              41688	             -41688	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4710746	           -4710746	                  0
6*  PRJ NL-S-CSR-294               Camel festival Janua	                  0	             200000	            -200000	                  0	                  0	             200000	            -200000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             200000	            -200000	                  0
6*  PRJ NL-S-CSR-295               FA to  Armed Forces	                  0	             500000	            -500000	                  0	                  0	             500000	            -500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             500000	            -500000	                  0
6*  PRJ NL-S-CSR-296               Upgradation of Gym,S	                  0	             869923	            -869923	                  0	                  0	             869923	            -869923	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             869923	            -869923	                  0
6*  PRJ NL-S-CSR-297               Sports meet, Bikaner	                  0	            1491674	           -1491674	                  0	                  0	            1491674	           -1491674	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1491674	           -1491674	                  0
6*  PRJ NL-S-CSR-302               Checkdam@Periya Odai	                  0	           90989393	          -90989393	                  0	                  0	           90989393	          -90989393	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           90989393	          -90989393	                  0
6*  PRJ NL-S-CSR-303               Flood protection wor	                  0	           93000000	          -93000000	                  0	                  0	           93000000	          -93000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           93000000	          -93000000	                  0
6*  PRJ NL-S-CSR-304               Desilting/renovation	                  0	            4897722	           -4897722	                  0	                  0	            4897722	           -4897722	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4897722	           -4897722	                  0
6*  PRJ NL-S-CSR-306               Regular Activities o	                  0	          384958984	         -384958984	                  0	                  0	          374758108	         -374758108	                  0	                  0	           10200876	          -10200876	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          384958984	         -384958984	                  0
6*  PRJ NL-S-CSR-308               Regular Activities o	                  0	          197898765	         -197898765	                  0	                  0	                  0	                  0	                  0	                  0	          197898765	         -197898765	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          197898765	         -197898765	                  0
6*  PRJ NR-C-BSS-001               NIRL BSS TN 250 MW /	                  0	            1168200	           -1168200	                  0	                  0	                  0	                  0	                  0	                  0	            1168200	           -1168200	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1168200	           -1168200	                  0
6*  PRJ NR-C-SOL-002               NIRL 600 MW Solar Po	        12700000000	         6650180243	         6049819757	               47.6	                  0	         3037918323	        -3037918323	                  0	        12700000000	         3612261920	         9087738080	               71.6	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	        12700000000	         6650180243	         6049819757	               47.6
6*  PRJ NR-C-SOL-003               810 MW SPP - Pugal R	             800000	         1859644600	        -1858844600	          -232355.6	                  0	             613600	            -613600	                  0	             800000	         1859031000	        -1858231000	          -232278.9	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             800000	         1859644600	        -1858844600	          -232355.6
6*  PRJ NT-C-NTP-002               NTPL Thermal Project	                  0	           16627790	          -16627790	                  0	                  0	           15493560	          -15493560	                  0	                  0	            1134230	           -1134230	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           16627790	          -16627790	                  0
6*  PRJ NT-C-NTP-003               NTPL Flue Gas Desulp	                  0	         7560950873	        -7560950873	                  0	                  0	         6855453569	        -6855453569	                  0	                  0	          705497304	         -705497304	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         7668252769	         7560950873	          107301896	                1.4
6*  PRJ NT-M-NTP-001               NTPL Capital Spares	                  0	          287364530	         -287364530	                  0	                  0	          276218493	         -276218493	                  0	                  0	           11146038	          -11146038	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          287364530	         -287364530	                  0
6*  PRJ NT-N-NTP-001               NTPL Non-Plan CAPEX	         1002175000	         1244926137	         -242751137	              -24.2	         1002175000	          851206308	          150968692	               15.1	                  0	          393719829	         -393719829	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1002175000	         1244926137	         -242751137	              -24.2
6*  PRJ NT-N-NTP-002               NTPL Non-plan CAPEX	                  0	           71371791	          -71371791	                  0	                  0	           71371791	          -71371791	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           71371791	          -71371791	                  0
6*  PRJ NT-N-NTP-003               NTPL Non-Plan CAPEX	                  0	            6059090	           -6059090	                  0	                  0	            6059090	           -6059090	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6059090	           -6059090	                  0
6*  PRJ NT-N-NTP-004               NTPL Non-Plan CAPEX	                  0	            2121388	           -2121388	                  0	                  0	            2121388	           -2121388	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2121388	           -2121388	                  0
6*  PRJ NT-N-NTP-005               NTPL Non-Plan CAPEX	                  0	            7589737	           -7589737	                  0	                  0	            7589737	           -7589737	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7589737	           -7589737	                  0
6*  PRJ NT-O-NTP-001               NTPL MOH Unit-I FY20	          200677379	                  0	          200677379	              100.0	          200677379	                  0	          200677379	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          200677379	                  0	          200677379	              100.0
6*  PRJ NT-S-NTP-001               NTPL CSR Projects	                  0	           56592589	          -56592589	                  0	                  0	           51443863	          -51443863	                  0	                  0	            5148727	           -5148727	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           56592589	          -56592589	                  0
6*  PRJ NU-C-GTP-001               NUPPL Thermal Projec	                  0	        45927101256	       -45927101256	                  0	                  0	        45326815025	       -45326815025	                  0	                  0	          600286231	         -600286231	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	        45927101256	       -45927101256	                  0
6*  PRJ NU-C-GTP-003               NUPPL Thermal Projec	                  0	        47868341905	       -47868341905	                  0	                  0	        43723458279	       -43723458279	                  0	                  0	         4144883627	        -4144883627	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	        47868341905	       -47868341905	                  0
6*  PRJ NU-C-MPS-001               PSCB Mines	          438500000	          143640058	          294859942	               67.2	          438500000	           76575003	          361924997	               82.5	                  0	           67065055	          -67065055	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          432600000	          143640058	          288959942	               66.8
