Plan/Actual/Variance	Current data (01.12.2025 16:15:22)
	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2026	2026	2026	2026	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
Displayed in	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1
6*  PRJ NL-M-SFT-001               Safety Capital Mater	           30000000	            8766352	           21233648	               70.8	           30000000	            8766352	           21233648	               70.8	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           30000000	            8766352	           21233648	               70.8
6*  PRJ NL-M-T2E-001               TPS2Exp - Capital Ma	                  0	          525958753	         -525958753	                  0	                  0	          291864204	         -291864204	                  0	                  0	          234094549	         -234094549	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          525958753	         -525958753	                  0
6*  PRJ NL-N-BSP-001-01            Barsingsar Thermal N	          901900000	          705480349	          196419651	               21.8	                  0	          442036475	         -442036475	                  0	          901900000	          263443873	          638456127	               70.8	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          901900000	          705480349	          196419651	               21.8
6*  PRJ NL-N-CES-001               Central Establishmen	          468116057	          207814107	          260301950	               55.6	          468116057	          207539645	          260576412	               55.7	                  0	             274462	            -274462	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          469980138	          207814107	          262166031	               55.8
6*  PRJ NL-N-CES-002               Manager Corporate Of	           21000000	            1713150	           19286850	               91.8	           21000000	            1713150	           19286850	               91.8	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           21000000	            1713150	           19286850	               91.8
6*  PRJ NL-N-CIS-001               CISF Non-Plan CapEx	           32513000	            2765918	           29747082	               91.5	           19113000	            2000537	           17112463	               89.5	           13400000	             765381	           12634619	               94.3	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           32513000	            2765918	           29747082	               91.5
6*  PRJ NL-N-CNT-001               Thermal Contracts No	            3400000	                  0	            3400000	              100.0	                  0	                  0	                  0	                  0	            3400000	                  0	            3400000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3400000	                  0	            3400000	              100.0
6*  PRJ NL-N-COM-001               Computer Services No	          858584968	          123627237	          734957731	               85.6	          758067125	          115280492	          642786633	               84.8	          100517843	            8346745	           92171098	               91.7	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          858585853	          123627237	          734958616	               85.6
6*  PRJ NL-N-CON-001               Corporate Contracts	            8695100	            8061953	             633147	                7.3	            8645100	            8014163	             630937	                7.3	              50000	              47790	               2210	                4.4	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8695100	            8061953	             633147	                7.3
6*  PRJ NL-N-CRD-001               CARD/ Disposal/ MM N	          101800000	            8593516	           93206484	               91.6	           66800000	            8102671	           58697329	               87.9	           35000000	             490845	           34509155	               98.6	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          101800000	            8593516	           93206484	               91.6
6*  PRJ NL-N-CTO-001               CTO CIVIL NON PLAN	           18230000	                  0	           18230000	              100.0	                  0	                  0	                  0	                  0	           18230000	                  0	           18230000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18230000	                  0	           18230000	              100.0
6*  PRJ NL-N-CWS-001               Central Workshop Non	           83313000	             514456	           82798544	               99.4	           20400000	             423456	           19976544	               97.9	           62913000	              91000	           62822000	               99.9	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           83313000	             514456	           82798544	               99.4
6*  PRJ NL-N-EDU-001               Education Non-Plan C	           28200000	              98100	           28101900	               99.7	           14500000	              98100	           14401900	               99.3	           13700000	                  0	           13700000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           13700000	              98100	           13601900	               99.3
6*  PRJ NL-N-ENC-001               Electrical &Communic	          109255000	           46314889	           62940111	               57.6	           62955000	           46215706	           16739294	               26.6	           46300000	              99183	           46200817	               99.8	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          109255000	           46314889	           62940111	               57.6
6*  PRJ NL-N-FIN-001               Corporate Finance No	            1353800	            2411717	           -1057917	              -78.1	            1353800	            1662032	            -308232	              -22.8	                  0	             749685	            -749685	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1353800	            2411717	           -1057917	              -78.1
