Budget/Actual/Commitment/Assigned	Current data (12.05.2026 12:25:20)
	Overall values	Overall values	Overall values	Overall values	Overall values	2021	2021	2021	2021	2021	2022	2022	2022	2022	2022	2023	2023	2023	2023	2023	2024	2024	2024	2024	2024	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028	2028	2028	2028	2028	2029	2029	2029	2029	2029	2030	2030	2030	2030	2030	2031	2031	2031	2031	2031	Total of years	Total of years	Total of years	Total of years	Total of years
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
**  WBS NL-N-TS2-002-06-39         Effluent Outlet  Flo	          746350.33	          616549.89	           32450.11	          649000.00	           97350.33	          649000.00	          649000.00	               0.00	          649000.00	               0.00	               0.00	          -32450.11	               0.00	          -32450.11	           32450.11	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           64900.22	               0.00	           32450.11	           32450.11	           32450.11	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          713900.22	          616549.89	           32450.11	          649000.00	           64900.22
**  WBS NL-N-TS2-002-06-56         water lanceblowing v	         1390512.00	         1390512.00	               0.00	         1390512.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1390512.00	         1390512.00	               0.00	         1390512.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1390512.00	         1390512.00	               0.00	         1390512.00	               0.00
**  WBS NL-N-TS2-002-06-57         Turbo Supervisory in	         9471243.38	         9471243.35	               0.03	         9471243.38	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9471243.35	         9471243.35	               0.00	         9471243.35	               0.00	               0.03	               0.00	               0.03	               0.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9471243.38	         9471243.35	               0.03	         9471243.38	               0.00
**  WBS NL-N-TS2-002-06-58         Keltron Make Pneu Ac	         2227009.91	         2227009.91	               0.00	         2227009.91	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2227009.91	         2227009.91	               0.00	         2227009.91	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2227009.91	         2227009.91	               0.00	         2227009.91	               0.00
**  WBS NL-N-TS2-002-06-59         Purchase of pfb tran	         2422486.41	         2422486.41	               0.00	         2422486.41	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2422486.41	         2422486.41	               0.00	         2422486.41	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2422486.41	         2422486.41	               0.00	         2422486.41	               0.00
**  WBS NL-N-TS2-002-06-60         Purchase of DCS Spar	         2404956.69	         2404956.69	               0.00	         2404956.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2404956.69	         2404956.69	               0.00	         2404956.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2404956.69	         2404956.69	               0.00	         2404956.69	               0.00
**  WBS NL-N-TS2-002-06-61         Purchase of Rockwin	          434018.16	          434018.16	               0.00	          434018.16	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          434018.16	          434018.16	               0.00	          434018.16	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          434018.16	          434018.16	               0.00	          434018.16	               0.00
**  WBS NL-N-TS2-002-06-62         Pur & Comm of radar	          626095.02	          626095.02	               0.00	          626095.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          521913.38	          521913.38	               0.00	          521913.38	               0.00	           52090.82	           52090.82	               0.00	           52090.82	               0.00	           52090.82	           52090.82	               0.00	           52090.82	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          626095.02	          626095.02	               0.00	          626095.02	               0.00
**  WBS NL-N-TS2-002-06-63         Online weighing syst	          803186.00	               0.00	          803186.00	          803186.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          803186.00	               0.00	          803186.00	          803186.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          803186.00	               0.00	          803186.00	          803186.00	               0.00
**  WBS NL-N-TS2-002-06-64         Flue gas Detector 3N	         1027678.45	               0.00	         1027678.45	         1027678.45	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1027678.45	               0.00	         1027678.45	         1027678.45	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1027678.45	               0.00	         1027678.45	         1027678.45	               0.00
**  WBS NL-N-TS2-002-06-65         Design Engg manufact	       212681688.45	       196742051.72	        15939636.73	       212681688.45	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       189447683.48	       189447683.48	               0.00	       189447683.48	               0.00	         2431456.08	         2431456.08	               0.00	         2431456.08	               0.00	         4862912.16	         4862912.16	               0.00	         4862912.16	               0.00	        15939636.73	               0.00	        15939636.73	        15939636.73	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       212681688.45	       196742051.72	        15939636.73	       212681688.45	               0.00
**  WBS NL-N-TS2-002-06-66         Purchase of Metso DN	         9209900.00	         9209900.00	               0.00	         9209900.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9209900.00	         9209900.00	               0.00	         9209900.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9209900.00	         9209900.00	               0.00	         9209900.00	               0.00
**  WBS NL-N-TS2-002-06-67         Purchase of Temperat	         2102551.49	         2102551.49	               0.00	         2102551.49	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2102551.49	         2102551.49	               0.00	         2102551.49	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2102551.49	         2102551.49	               0.00	         2102551.49	               0.00
**  WBS NL-N-TS2-002-06-68         Purchase of Metso DN	        31964172.06	        31964172.06	               0.00	        31964172.06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        31964172.06	        31964172.06	               0.00	        31964172.06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        31964172.06	        31964172.06	               0.00	        31964172.06	               0.00
**  WBS NL-N-TS2-002-06-69         Power supply Unit fo	         8838530.40	         8838530.40	               0.00	         8838530.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8838530.40	         8838530.40	               0.00	         8838530.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8838530.40	         8838530.40	               0.00	         8838530.40	               0.00
**  WBS NL-N-TS2-002-06-70         RTD Input Module for	        10553599.23	        10553599.23	               0.00	        10553599.23	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10553599.23	        10553599.23	               0.00	        10553599.23	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10553599.23	        10553599.23	               0.00	        10553599.23	               0.00
**  WBS NL-N-TS2-002-06-71         PUR-NOX GAS ANALYZER	         3221705.62	         3221705.62	               0.00	         3221705.62	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3221705.62	         3221705.62	               0.00	         3221705.62	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3221705.62	         3221705.62	               0.00	         3221705.62	               0.00
**  WBS NL-N-TS2-002-06-72         PUR OF PRESSURE TRAN	         9660315.55	               0.00	         9660315.55	         9660315.55	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9660315.55	               0.00	         9660315.55	         9660315.55	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9660315.55	               0.00	         9660315.55	         9660315.55	               0.00
**  WBS NL-N-TS2-002-06-73         Purc 16 nos of High	         6194603.52	         6194603.52	               0.00	         6194603.52	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6194603.52	         6194603.52	               0.00	         6194603.52	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6194603.52	         6194603.52	               0.00	         6194603.52	               0.00
**  WBS NL-N-TS2-002-06-74         Purchase of 7 Nos. o	         7908684.03	         7908684.03	               0.00	         7908684.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7908684.03	         7908684.03	               0.00	         7908684.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7908684.03	         7908684.03	               0.00	         7908684.03	               0.00
**  WBS NL-N-TS2-002-06-75         PURS-1 NUMBER OUTDOO	          776000.10	               0.00	          776000.10	          776000.10	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          776000.10	               0.00	          776000.10	          776000.10	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          776000.10	               0.00	          776000.10	          776000.10	               0.00
**  WBS NL-N-TS2-002-06-76         Turbine Speed Sensor	         3039923.96	         3039923.96	               0.00	         3039923.96	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3039923.96	         3039923.96	               0.00	         3039923.96	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3039923.96	         3039923.96	               0.00	         3039923.96	               0.00
**  WBS NL-N-TS2-002-06-77         Kuhme Make HFO QCVs	         8728722.00	               0.00	         8728722.00	         8728722.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8728722.00	               0.00	         8728722.00	         8728722.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8728722.00	               0.00	         8728722.00	         8728722.00	               0.00
**  WBS NL-N-TS2-002-06-78         Spares for TSI syste	         5540178.69	               0.00	         5540178.69	         5540178.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5540178.69	               0.00	         5540178.69	         5540178.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5540178.69	               0.00	         5540178.69	         5540178.69	               0.00
**  WBS NL-N-TS2-002-06-79         BHEL DCS HMI UPGRADA	       446883954.16	               0.00	       446883954.16	       446883954.16	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       394584253.76	               0.00	       394584253.76	       394584253.76	               0.00	        52299700.40	               0.00	        52299700.40	        52299700.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       446883954.16	               0.00	       446883954.16	       446883954.16	               0.00
**  WBS NL-N-TS2-002-06-80         IR SCANNERS FOR STAG	         8879500.00	               0.00	         8879500.00	         8879500.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8879500.00	               0.00	         8879500.00	         8879500.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8879500.00	               0.00	         8879500.00	         8879500.00	               0.00
**  WBS NL-N-TS2-002-06-81         Turb Gov Solnd vlv f	         9540026.00	               0.00	         9540026.00	         9540026.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9540026.00	               0.00	         9540026.00	         9540026.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9540026.00	               0.00	         9540026.00	         9540026.00	               0.00
**  WBS NL-N-TS2-002-06-82         SWAS stg1,pH,O2,anal	        47866700.00	               0.00	        47866700.00	        47866700.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        47866700.00	               0.00	        47866700.00	        47866700.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        47866700.00	               0.00	        47866700.00	        47866700.00	               0.00
**  WBS NL-N-TS2-002-06-83         Pur of  MetsoDNA DCS	        23129441.40	               0.00	        23129442.08	        23129442.08	              -0.68	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        23129441.40	               0.00	        23129442.08	        23129442.08	              -0.68	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        23129441.40	               0.00	        23129442.08	        23129442.08	              -0.68
**  WBS NL-N-TS2-002-06-84         Mill Brg Vibration s	        21057251.00	               0.00	        21057251.00	        21057251.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        21057251.00	               0.00	        21057251.00	        21057251.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        21057251.00	               0.00	        21057251.00	        21057251.00	               0.00
**  WBS NL-N-TS2-002-06-85         “Mandatory Cybersecu	         4221450.00	               0.00	               0.00	               0.00	         4221450.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
**  WBS NL-N-TS2-002-06-86         procurement of LVS&L	         5275345.00	               0.00	         5275345.00	         5275345.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5275345.00	               0.00	         5275345.00	         5275345.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5275345.00	               0.00	         5275345.00	         5275345.00	               0.00
*** WBS NL-N-TS2-002-07            LHS MAINTENANCE	       762574250.94	       669367771.98	        46525641.52	       715893413.50	        46680837.44	       234117179.28	       211561608.06	               0.00	       211561608.06	        22555571.22	       366251207.56	       366251207.56	               0.00	       366251207.56	               0.00	        43502919.96	        43502919.96	               0.00	        43502919.96	               0.00	        30318059.96	        30318059.96	               0.00	        30318059.96	               0.00	        17733976.44	        17733976.44	         1690889.05	        19424865.49	        -1690889.05	        69481109.74	               0.00	        44834752.47	        44834752.47	        24646357.27	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       761404452.94	       669367771.98	        46525641.52	       715893413.50	        45511039.44
**  WBS NL-N-TS2-002-07-01         CONVEYORS AND SYSTEM	        20939218.48	        20412230.46	          526988.02	        20939218.48	               0.00	        19748126.46	        19748126.46	               0.00	        19748126.46	               0.00	          498078.00	          498078.00	               0.00	          498078.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          166026.00	          166026.00	               0.00	          166026.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          526988.02	               0.00	          526988.02	          526988.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        20939218.48	        20412230.46	          526988.02	        20939218.48	               0.00
