Budget Updates	Current data (26.11.2025 12:26:23)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
5*  PRJ NL-C-WND-002               50 MW Wind Project	          165206500	         3432550000	         -158421582	                  0	         3439334918	         3356107663	          165206500	         3432550000	         -158421582	                  0	         2928210855	         2928210855	                  0	                  0	                  0	                  0	          511124063	          427896808	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          165206500	         3432550000	         -158421582	                  0	         3439334918	         3356156663
5*  PRJ NL-F-MAC-001               MACHHAKATA (REVISED)	         1784638400	          479510000	                  0	                  0	         2264148400	          859462114	         1784638400	          479510000	                  0	                  0	          368607886	          368607886	                  0	                  0	                  0	                  0	         1895540514	          490854228	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1784638400	          479510000	                  0	                  0	         2264148400	         2169729719
5*  PRJ NL-F-MRP-001               Raipura Phosphorite	          233500000	                  0	                  0	                  0	          233500000	           46027815	                  0	                  0	                  0	                  0	                  0	                  0	          233500000	                  0	                  0	                  0	          233500000	           46027815	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          233500000	                  0	                  0	                  0	          233500000	           46027815
5*  PRJ NL-F-MSP-001               Semhardih Phosphorit	          231600000	                  0	                  0	                  0	          231600000	           46027815	                  0	                  0	                  0	                  0	                  0	                  0	          231600000	                  0	                  0	                  0	          231600000	           46027815	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          231600000	                  0	                  0	                  0	          231600000	           46027815
5*  PRJ NL-F-NDM-001               North Dhadu (Western	         1040933138	         2008140000	        -1766357040	                  0	         1282716098	          588622785	           40933138	         2008140000	                  0	                  0	           77248977	           77248977	         1000000000	                  0	        -1766357040	                  0	         1205467121	          511373808	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1040933138	         2008140000	        -1766357040	                  0	         1282716098	          592716098
5*  PRJ NL-F-RGP-001               Rajasthan Gurha Powe	            1030000	            2696735	                  0	                  0	            3726735	            3726735	                  0	                  0	                  0	                  0	                  0	                  0	            1030000	            2696735	                  0	                  0	            3726735	            3726735	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1030000	            2696735	                  0	                  0	            3726735	            3726735
5*  PRJ NL-F-TPP-001               NLC Talabira Thermal	           59621587	         2000000000	        -2000000000	                  0	           59621587	           59621587	                  0	                  0	                  0	                  0	                  0	                  0	           59621587	         2000000000	        -2000000000	                  0	           59621587	           59621587	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           59621587	         2000000000	        -2000000000	                  0	           59621587	           59621587
5*  PRJ NL-M-BMN-001               Barsingsar Mines Cap	            2700000	                  0	                  0	                  0	            2700000	                  0	            2700000	                  0	                  0	                  0	            2700000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2700000	                  0	                  0	                  0	            2700000	            1515766
5*  PRJ NL-M-M1A-001               Mine 1A Capital Mate	          298880915	                  0	          -85919013	                  0	          212961902	          120711397	          298880915	                  0	          -85919013	                  0	          212961902	          120711397	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          300480915	                  0	          -85919013	                  0	          214561902	          142092001
5*  PRJ NL-M-MES-001               Mech. Services Capit	          262789970	                  0	                  0	                  0	          262789970	          188611759	          262789970	                  0	                  0	                  0	          262789970	          188611759	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          262789970	                  0	                  0	                  0	          262789970	          212102179
5*  PRJ NL-M-MN1-001               Mine 1 Capital Mater	          449965998	          110920000	          -16574420	                  0	          544311578	          169517231	          449965998	          110920000	          -16574420	                  0	          544311578	          169517231	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          451566007	          110920000	          -16574420	                  0	          545911587	          435549206
5*  PRJ NL-M-MN2-001               Mine 2 Capital Mater	          960396930	                  0	         -128651590	                  0	          831745341	          462771688	          960396930	                  0	         -128651590	                  0	          831745341	          462771688	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          960396930	                  0	         -128651590	                  0	          831745341	          493370568
5*  PRJ NL-M-NNT-001               NNTP Capital Materia	         1391132000	                  0	         -144201312	                  0	         1246930689	          601776452	          880832000	                  0	         -144201312	                  0	          140901907	          140901907	          510300000	                  0	                  0	                  0	         1106028782	          460874545	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1391132000	                  0	         -144201312	                  0	         1246930689	          601776452
5*  PRJ NL-M-SFT-001               Safety Capital Mater	            8766352	                  0	                  0	                  0	            8766352	            8766352	            8766352	                  0	                  0	                  0	            8766352	            8766352	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8766352	                  0	                  0	                  0	            8766352	            8766352
5*  PRJ NL-M-T1E-001               TPS 1 Exp. Capital M	           40000000	                  0	                  0	                  0	           40000000	                  0	           40000000	                  0	                  0	                  0	           40000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           40000000	                  0	                  0	                  0	           40000000	                  0
5*  PRJ NL-M-T2E-001               TPS2Exp - Capital Ma	         1083499998	                  0	          -29168672	                  0	         1054331326	          608238588	          753499999	                  0	          -29168672	                  0	          291864204	          207931474	          329999999	                  0	                  0	                  0	          762467122	          400307114	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1083499998	                  0	          -29168672	                  0	         1054331326	          752446601
5*  PRJ NL-N-BOD-001               Board Section Non-Pl	             150000	                  0	                  0	                  0	             150000	             150000	                  0	                  0	                  0	                  0	                  0	                  0	             150000	                  0	                  0	                  0	             150000	             150000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             150000	                  0	                  0	                  0	             150000	             150000
