Budget Updates	Current data (26.11.2025 12:36:30)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
**  WBS NL-N-TS2-002-02-30         Repair of J-Row Wall	            1446652	                  0	                  0	                  0	            1446652	             944708	            1446652	                  0	                  0	                  0	             944708	             944708	                  0	                  0	                  0	                  0	             501944	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1550839	                  0	                  0	                  0	            1550839	            1446652
**  WBS NL-N-TS2-002-02-33         Modification of Powe	             383179	                  0	                  0	                  0	             383179	             383179	             383179	                  0	                  0	                  0	             383179	             383179	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             383179	                  0	                  0	                  0	             383179	             383179
**  WBS NL-N-TS2-002-02-34         REPAIR OF LHS TRACKS	           37419688	                  0	                  0	                  0	           37419688	           10778164	           37419688	                  0	                  0	                  0	           10778164	           10778164	                  0	                  0	                  0	                  0	           26641524	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           37419688	                  0	                  0	                  0	           37419688	           37419688
**  WBS NL-N-TS2-002-02-35         Manu.&supply of slee	            8902303	                  0	                  0	                  0	            8902303	            8902303	            8902303	                  0	                  0	                  0	            7107621	            7107621	                  0	                  0	                  0	                  0	            1794682	            1794682	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8902303	                  0	                  0	                  0	            8902303	            8902303
**  WBS NL-N-TS2-002-02-38         Formation of new WBM	           46825433	                  0	                  0	                  0	           46825433	           46825340	           42691526	                  0	                  0	                  0	           11577802	           11577802	            4133907	                  0	                  0	                  0	           35247631	           35247538	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           46825526	                  0	                  0	                  0	           46825526	           46825340
**  WBS NL-N-TS2-002-02-39         IMPROVE  BT ROAD TO	           40854175	                  0	                  0	                  0	           40854175	           37674704	           40854175	                  0	                  0	                  0	           37674704	           37674704	                  0	                  0	                  0	                  0	            3179470	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           40854175	                  0	                  0	                  0	           40854175	           40854175
**  WBS NL-N-TS2-002-02-40         WIDEN EXISTING OUTER	           17916254	                  0	                  0	                  0	           17916254	           17916254	           13436174	                  0	                  0	                  0	            2508874	            2508874	            4480080	                  0	                  0	                  0	           15407380	           15407380	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           17916254	                  0	                  0	                  0	           17916254	           17916254
**  WBS NL-N-TS2-002-02-41         galvaume sheets- tra	            4939000	                  0	                  0	                  0	            4939000	            4939000	            5323400	                  0	                  0	                  0	                  0	                  0	            -384400	                  0	                  0	                  0	            4939000	            4939000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4939000	                  0	                  0	                  0	            4939000	            4939000
**  WBS NL-N-TS2-002-02-42         galvaume sheets-LHS	            8708869	                  0	                  0	                  0	            8708869	            8708868	            7878655	                  0	                  0	                  0	                  0	                  0	             830214	                  0	                  0	                  0	            8708869	            8708868	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8708869	                  0	                  0	                  0	            8708869	            8708868
**  WBS NL-N-TS2-002-02-43         galvaume sheets-7AB	           14052033	                  0	                  0	                  0	           14052033	           14052033	           10621883	                  0	                  0	                  0	                  0	                  0	            3430150	                  0	                  0	                  0	           14052033	           14052033	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           14052033	                  0	                  0	                  0	           14052033	           14052033
**  WBS NL-N-TS2-002-02-44         LIFT CONSTRUCTION- A	            1950713	                  0	                  0	                  0	            1950713	            1950713	            1653113	                  0	                  0	                  0	                  0	                  0	             297600	                  0	                  0	                  0	            1950713	            1950713	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1950713	                  0	                  0	                  0	            1950713	            1950713
**  WBS NL-N-TS2-002-02-45         PROVIDING GALVALUME	            8620822	                  0	                  0	                  0	            8620822	                  0	            8620822	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8620822	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8620822	                  0	                  0	                  0	            8620822	            8620822
**  WBS NL-N-TS2-002-02-46         IMPROVEMENT IN CANTE	            5964987	                  0	                  0	                  0	            5964987	                  0	            5964987	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5964987	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5964987	                  0	                  0	                  0	            5964987	            5964987
**  WBS NL-N-TS2-002-02-47         RCC SETTLING TANK FO	           16938508	                  0	                  0	                  0	           16938508	                  0	           16938508	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           16938508	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           16938508	                  0	                  0	                  0	           16938508	           16938508
**  WBS NL-N-TS2-002-02-48         WATER PROOFING TREAT	           11092618	                  0	                  0	                  0	           11092618	                  0	           11092618	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11092618	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11092618	                  0	                  0	                  0	           11092618	           11092618
**  WBS NL-N-TS2-002-02-49         REPAIR REHABILITA CO	           34095700	                  0	                  0	                  0	           34095700	           34095700	                  0	                  0	                  0	                  0	                  0	                  0	           34095700	                  0	                  0	                  0	           34095700	           34095700	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           34095700	                  0	                  0	                  0	           34095700	           34095700
