Budget Updates	Current data (26.11.2025 12:36:30)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
**  WBS NL-N-TS2-002-06-25         Gas Detectors-Portab	             139650	                  0	                  0	                  0	             139650	             139650	             139650	                  0	                  0	                  0	             139650	             139650	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             139650	                  0	                  0	                  0	             139650	             139650
**  WBS NL-N-TS2-002-06-26         Coriolis Flow Meters	            6153700	                  0	                  0	                  0	            6153700	            6153700	            6153700	                  0	                  0	                  0	            6153700	            6153700	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6153700	                  0	                  0	                  0	            6153700	            6153700
**  WBS NL-N-TS2-002-06-27         Hydrogen Dew Point M	            1138700	                  0	                  0	                  0	            1138700	            1138700	            1138700	                  0	                  0	                  0	            1138700	            1138700	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1138700	                  0	                  0	                  0	            1138700	            1138700
**  WBS NL-N-TS2-002-06-28         CPU with LAN & LCM P	            9027000	                  0	                  0	                  0	            9027000	            9027000	            9027000	                  0	                  0	                  0	            9027000	            9027000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9027000	                  0	                  0	                  0	            9027000	            9027000
**  WBS NL-N-TS2-002-06-29         SWAS with Wet & Dry	           28461837	                  0	                  0	                  0	           28461837	                  0	           28461837	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           28461837	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           28461837	                  0	                  0	                  0	           28461837	           28461837
**  WBS NL-N-TS2-002-06-30         Hydrogen Gas Density	             952850	                  0	                  0	                  0	             952850	             952850	             952850	                  0	                  0	                  0	             952850	             952850	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             952850	                  0	                  0	                  0	             952850	             952850
**  WBS NL-N-TS2-002-06-31         Control System and H	              29500	                  0	                  0	                  0	              29500	                  0	              29500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	              29500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	              29500	                  0	                  0	                  0	              29500	              29500
**  WBS NL-N-TS2-002-06-32         Electronic DLI for B	             295000	                  0	                  0	                  0	             295000	                  0	             295000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             295000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             295000	                  0	                  0	                  0	             295000	             295000
**  WBS NL-N-TS2-002-06-33         Common Monitoring Co	            3929400	                  0	                  0	                  0	            3929400	                  0	            3929400	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3929400	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3929400	                  0	                  0	                  0	            3929400	            3929400
**  WBS NL-N-TS2-002-06-34         Steam & Water Analys	            2050722	                  0	                  0	                  0	            2050722	            2050722	            2050722	                  0	                  0	                  0	            2050722	            2050722	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2050722	                  0	                  0	                  0	            2050722	            2050722
**  WBS NL-N-TS2-002-06-35         Single Compartment T	            2248815	                  0	                  0	                  0	            2248815	                  0	            2248815	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2248815	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2248815	                  0	                  0	                  0	            2248815	            2248815
**  WBS NL-N-TS2-002-06-36         Positioner Cylinder	            1973640	                  0	                  0	                  0	            1973640	            1973640	            1973640	                  0	                  0	                  0	            1973640	            1973640	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1973640	                  0	                  0	                  0	            1973640	            1973640
**  WBS NL-N-TS2-002-06-37         Erection of Venturi&	            3159450	                  0	                  0	                  0	            3159450	            2933775	            3159450	                  0	                  0	                  0	            2933775	            2933775	                  0	                  0	                  0	                  0	             225675	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3159450	                  0	                  0	                  0	            3159450	            3159450
**  WBS NL-N-TS2-002-06-38         Erection of Venturi&	            1215282	                  0	                  0	                  0	            1215282	            1173694	            1215282	                  0	                  0	                  0	            1173694	            1173694	                  0	                  0	                  0	                  0	              41588	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1215282	                  0	                  0	                  0	            1215282	            1215282
**  WBS NL-N-TS2-002-06-39         Effluent Outlet  Flo	             649000	                  0	                  0	                  0	             649000	             649000	             649000	                  0	                  0	                  0	             649000	             649000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             649000	                  0	                  0	                  0	             649000	             649000
**  WBS NL-N-TS2-002-06-56         water lanceblowing v	            1390512	                  0	                  0	                  0	            1390512	            1390512	            1390512	                  0	                  0	                  0	            1390512	            1390512	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1390512	                  0	                  0	                  0	            1390512	            1390512
**  WBS NL-N-TS2-002-06-57         Turbo Supervisory in	            9468492	                  0	                  0	                  0	            9468492	                  0	            9468492	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9468492	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9468492	                  0	                  0	                  0	            9468492	            9468492
**  WBS NL-N-TS2-002-06-58         Keltron Make Pneu Ac	            2227010	                  0	                  0	                  0	            2227010	            2227010	            2227010	                  0	                  0	                  0	            2227010	            2227010	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2227010	                  0	                  0	                  0	            2227010	            2227010
**  WBS NL-N-TS2-002-06-59         Purchase of pfb tran	            2422486	                  0	                  0	                  0	            2422486	            2416520	            2422486	                  0	                  0	                  0	            2422486	            2416520	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2422486	                  0	                  0	                  0	            2422486	            2416520
**  WBS NL-N-TS2-002-06-60         Purchase of DCS Spar	            2404957	                  0	                  0	                  0	            2404957	            2404957	            2404957	                  0	                  0	                  0	            2404957	            2404957	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2404957	                  0	                  0	                  0	            2404957	            2404957
**  WBS NL-N-TS2-002-06-61         Purchase of Rockwin	             434018	                  0	                  0	                  0	             434018	             434018	             434018	                  0	                  0	                  0	             434018	             434018	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             434018	                  0	                  0	                  0	             434018	             434018
**  WBS NL-N-TS2-002-06-62         Pur & Comm of radar	             626095	                  0	                  0	                  0	             626095	             574004	             626095	                  0	                  0	                  0	             574004	             574004	                  0	                  0	                  0	                  0	              52091	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             626095	                  0	                  0	                  0	             626095	             626095
**  WBS NL-N-TS2-002-06-63         Online weighing syst	             803186	                  0	                  0	                  0	             803186	                  0	             803186	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             803186	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             803186	                  0	                  0	                  0	             803186	             803186
**  WBS NL-N-TS2-002-06-64         Flue gas Detector 3N	            2484606	                  0	                  0	                  0	            2484606	                  0	            2484606	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2484606	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2484606	                  0	                  0	                  0	            2484606	            2484606
**  WBS NL-N-TS2-002-06-65         Design Engg manufact	          212681688	                  0	                  0	                  0	          212681688	          191879140	          212681688	                  0	                  0	                  0	          191879140	          191879140	                  0	                  0	                  0	                  0	           20802549	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          212681688	                  0	                  0	                  0	          212681688	          212681688
**  WBS NL-N-TS2-002-06-66         Purchase of Metso DN	            9209900	                  0	                  0	                  0	            9209900	            9209900	            9209900	                  0	                  0	                  0	            9209900	            9209900	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9209900	                  0	                  0	                  0	            9209900	            9209900
**  WBS NL-N-TS2-002-06-67         Purchase of Temperat	            2102551	                  0	                  0	                  0	            2102551	            2102551	            2102551	                  0	                  0	                  0	            2102551	            2102551	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2102551	                  0	                  0	                  0	            2102551	            2102551
**  WBS NL-N-TS2-002-06-68         Purchase of Metso DN	           31964172	                  0	                  0	                  0	           31964172	           31964172	           31964172	                  0	                  0	                  0	           31964172	           31964172	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           31964172	                  0	                  0	                  0	           31964172	           31964172
**  WBS NL-N-TS2-002-06-69         Power supply Unit fo	            8838530	                  0	                  0	                  0	            8838530	            8838530	            8838550	                  0	                  0	                  0	                  0	                  0	                -20	                  0	                  0	                  0	            8838530	            8838530	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8838530	                  0	                  0	                  0	            8838530	            8838530
**  WBS NL-N-TS2-002-06-70         RTD Input Module for	           10550498	                  0	                  0	                  0	           10550498	                  0	           10550498	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10550498	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10550498	                  0	                  0	                  0	           10550498	           10550498
**  WBS NL-N-TS2-002-06-71         PUR-NOX GAS ANALYZER	            3220759	                  0	                  0	                  0	            3220759	                  0	            3220759	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3220759	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3220759	                  0	                  0	                  0	            3220759	            3220759
**  WBS NL-N-TS2-002-06-72         PUR OF PRESSURE TRAN	           17586725	                  0	                  0	                  0	           17586725	                  0	           17586725	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           17586725	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           17586725	                  0	                  0	                  0	           17586725	           17586725
**  WBS NL-N-TS2-002-06-73         Purc 16 nos of High	            6321024	                  0	                  0	                  0	            6321024	                  0	            6321024	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6321024	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6321024	                  0	                  0	                  0	            6321024	            6321024
**  WBS NL-N-TS2-002-06-74         Purchase of 7 Nos. o	            7410344	                  0	                  0	                  0	            7410344	                  0	            7410344	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7410344	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7410344	                  0	                  0	                  0	            7410344	            7410344
**  WBS NL-N-TS2-002-06-75         PURS-1 NUMBER OUTDOO	             776000	                  0	                  0	                  0	             776000	                  0	             776000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             776000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             776000	                  0	                  0	                  0	             776000	             776000
**  WBS NL-N-TS2-002-06-76         Turbine Speed Sensor	            2888640	                  0	                  0	                  0	            2888640	                  0	            2888640	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2888640	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2888640	                  0	                  0	                  0	            2888640	            2888640
**  WBS NL-N-TS2-002-06-77         Kuhme Make HFO QCVs	            8772565	                  0	                  0	                  0	            8772565	                  0	            8772565	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8772565	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8772565	                  0	                  0	                  0	            8772565	            8772565
**  WBS NL-N-TS2-002-06-78         Spares for TSI syste	            5534676	                  0	                  0	                  0	            5534676	                  0	            5534676	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5534676	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5534676	                  0	                  0	                  0	            5534676	            5534676
**  WBS NL-N-TS2-002-06-79         BHEL DCS HMI UPGRADA	          489872029	                  0	                  0	                  0	          489872029	                  0	          489872029	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          489872029	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          489872029	                  0	                  0	                  0	          489872029	          489872029
**  WBS NL-N-TS2-002-06-80         IR SCANNERS FOR STAG	            8879500	                  0	                  0	                  0	            8879500	                  0	            8879500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8879500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8879500	                  0	                  0	                  0	            8879500	            8879500
**  WBS NL-N-TS2-002-06-81         Turb Gov Solnd vlv f	            9540026	                  0	                  0	                  0	            9540026	            9540026	                  0	                  0	                  0	                  0	                  0	                  0	            9540026	                  0	                  0	                  0	            9540026	            9540026	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9540026	                  0	                  0	                  0	            9540026	            9540026
**  WBS NL-N-TS2-002-06-82         SWAS stg1,pH,O2,anal	           47959083	                  0	                  0	                  0	           47959083	           47959083	                  0	                  0	                  0	                  0	                  0	                  0	           47959083	                  0	                  0	                  0	           47959083	           47959083	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           47959083	                  0	                  0	                  0	           47959083	           47959083
**  WBS NL-N-TS2-002-06-83         Pur of  MetsoDNA DCS	           23129442	                  0	                  0	                  0	           23129442	           23129442	                  0	                  0	                  0	                  0	                  0	                  0	           23129442	                  0	                  0	                  0	           23129442	           23129442	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           23129442	                  0	                  0	                  0	           23129442	           23129442
*** WBS NL-N-TS2-002-07            LHS MAINTENANCE	          694679174	                  0	                  0	                  0	          694679174	          673820646	          676758351	                  0	                  0	                  0	          651633796	          651633796	           17920823	                  0	                  0	                  0	           43045379	           22186850	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          694679174	                  0	                  0	                  0	          694679174	          694679174
**  WBS NL-N-TS2-002-07-01         CONVEYORS AND SYSTEM	           20939218	                  0	                  0	                  0	           20939218	           20412230	           20939218	                  0	                  0	                  0	           20412230	           20412230	                  0	                  0	                  0	                  0	             526988	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           20939218	                  0	                  0	                  0	           20939218	           20939218
**  WBS NL-N-TS2-002-07-02         LIGNITE YARD RAILS R	           26848891	                  0	                  0	                  0	           26848891	           26848891	           27000001	                  0	                  0	                  0	           26848891	           26848891	            -151110	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           26848891	                  0	                  0	                  0	           26848891	           26848891
**  WBS NL-N-TS2-002-07-03         BELT EQUIPMENT SYSTE	             705000	                  0	                  0	                  0	             705000	             705000	             705000	                  0	                  0	                  0	             705000	             705000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             705000	                  0	                  0	                  0	             705000	             705000
**  WBS NL-N-TS2-002-07-04         Replacement of Two R	          549498106	                  0	                  0	                  0	          549498106	          549498102	          549498106	                  0	                  0	                  0	          549498102	          549498102	                  0	                  0	                  0	                  0	                  4	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          549498106	                  0	                  0	                  0	          549498106	          549498106
**  WBS NL-N-TS2-002-07-05         Vacuum Cleaners for	            1803474	                  0	                  0	                  0	            1803474	            1803474	            1803474	                  0	                  0	                  0	            1803474	            1803474	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1803474	                  0	                  0	                  0	            1803474	            1803474
**  WBS NL-N-TS2-002-07-06         Vulcanizing Equipmen	            6071696	                  0	                  0	                  0	            6071696	            6071696	            6071696	                  0	                  0	                  0	            6071696	            6071696	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6071696	                  0	                  0	                  0	            6071696	            6071696
**  WBS NL-N-TS2-002-07-07         Various Idlers	           10289088	                  0	                  0	                  0	           10289088	           10289088	           10289088	                  0	                  0	                  0	           10289088	           10289088	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10289088	                  0	                  0	                  0	           10289088	           10289088
